Lieferant,Umsatz (EUR),Datum,Lieferant Abk.
Antiquariat allgemein,0.00,2020-10-01,Antiquariat
Autorenbuchhandlung Marx & Co GmbH,0.00,2020-10-01,Autorenbuchhandlung Marx
COMPUTEC MEDIA GmbH,0.00,2020-10-01,COMPUTEC MEDIA
Deutscher Hochschulverband,0.00,2020-10-01,Deutscher Hochschulverband
EBSCO Information Services GmbH,0.00,2020-10-01,EBSCO Zeitschriften
EBSCO Information Services GmbH Buch,0.00,2020-10-01,EBSCO Buch
Erasmus Boekhandel bv,0.00,2020-10-01,Erasmus Boekhandel
Ersatzlieferant,0.00,2020-10-01,Ersatzlieferant
Felix Meiner Verlag GmbH,0.00,2020-10-01,Felix Meiner Verlag
Heinemann Verlag Shop,0.00,2020-10-01, Heinemann Verlag
Karl-Marx-Buchhandlung GmbH,0.00,2020-10-01,Karl-Marx-Buchhandlung
Massmann Internationale Buchhandlung GmbH,0.00,2020-10-01,Massmann
Missing Link Versandbuchhandlung eG,0.00,2020-10-01,Missing Link
Presse Verlagsgesellschaft fr Zeitschriften und neue Medien mbH,0.00,2020-10-01,Presse Verlagsgesellschaft
Schweitzer Fachinformationen,0.00,2020-10-01,Schweitzer
Springer,0.00,2020-10-01,Springer
Texte zur Kunst GmbH & Co. KG,0.00,2020-10-01,Texte zur Kunst
Verlagsgruppe Hthig Jehle Rehm,0.00,2020-10-01,HÃ¼thig Jehle Rehm
ebooks,0.00,2020-10-01,ebooks